Gender,Age,Address,Mother_Education,Father_Education,Mother_Job,Travel_Time,Study_Time,Wants_Higher_Education,Internet_Access,In_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Number_of_Absences,Grade_1,Grade_2,Final_Grade,Dropped_Out
F,15,U,4,3,other,1,2,yes,yes,yes,2,2,1,1,4,10,11,11,False
F,16,U,3,3,other,1,2,yes,yes,no,3,5,1,4,6,13,12,13,False
M,16,U,4,3,health,1,4,yes,yes,no,2,2,1,1,2,17,17,17,False
M,15,U,4,2,teacher,1,2,yes,no,no,3,3,2,2,4,11,12,13,False
F,15,U,4,4,services,1,2,yes,yes,no,4,4,1,1,2,13,12,12,False
F,16,U,2,2,services,3,2,yes,yes,no,3,3,2,3,0,14,13,13,False
F,15,U,4,2,health,1,2,yes,yes,no,3,3,1,1,0,16,14,16,False
M,15,U,4,2,health,2,1,yes,no,no,5,5,3,4,4,10,9,9,True
F,15,U,4,4,services,1,1,yes,yes,no,3,4,2,3,0,13,12,12,False
F,15,U,3,3,other,1,1,yes,yes,no,3,4,4,4,0,13,12,13,False
F,16,U,2,1,other,1,2,yes,yes,yes,3,4,1,1,2,12,13,12,False
F,15,U,4,3,services,1,2,yes,yes,no,3,2,1,1,0,15,14,15,False
M,15,U,4,4,teacher,1,2,yes,no,no,2,2,1,1,8,15,15,16,False
M,15,U,1,2,other,1,2,yes,yes,no,3,2,1,1,0,14,13,14,False
F,16,U,4,2,services,1,2,yes,yes,no,2,3,1,1,2,16,15,16,False
F,16,R,4,4,health,1,2,yes,no,no,4,4,2,3,0,17,16,16,False
F,16,U,1,1,services,4,1,yes,yes,yes,5,5,5,5,0,10,10,16,False
F,16,U,1,2,other,1,2,yes,yes,no,4,3,1,1,0,13,13,10,False
F,16,U,4,3,teacher,1,3,yes,yes,no,4,4,2,4,0,14,13,13,False
F,15,U,4,3,services,1,2,yes,yes,yes,4,4,2,4,0,13,12,12,False
F,16,U,4,3,teacher,3,2,yes,yes,no,4,3,1,2,2,16,15,16,False
M,15,U,4,4,other,1,4,yes,yes,yes,3,3,5,5,0,11,12,12,False
F,16,U,3,1,services,1,4,yes,yes,no,3,3,1,2,0,10,9,10,False
F,15,R,2,2,health,2,2,yes,yes,no,1,3,1,3,0,11,10,11,False
F,15,R,3,1,other,2,4,yes,yes,no,4,2,2,3,6,15,15,15,False
M,16,U,3,1,other,2,4,yes,yes,no,3,2,1,1,2,13,11,11,False
M,15,U,4,2,other,1,4,yes,yes,no,3,3,1,1,0,11,9,10,False
F,15,R,1,1,other,1,2,yes,yes,yes,3,4,2,4,2,13,11,11,False
M,16,U,3,1,other,1,1,yes,no,no,3,2,2,2,0,13,13,14,False
F,16,U,3,3,other,1,2,yes,yes,no,3,3,2,4,4,11,11,11,False
M,15,U,4,3,teacher,1,2,yes,yes,no,3,3,2,3,0,11,11,11,False
M,15,U,4,0,teacher,2,4,yes,yes,no,4,3,1,1,0,12,11,11,False
F,16,U,2,2,other,1,4,yes,yes,yes,2,3,1,3,1,13,13,13,False
M,17,U,2,1,other,2,1,no,yes,no,5,1,1,1,0,9,9,10,False
F,16,U,3,4,at_home,1,2,yes,yes,no,4,3,1,2,14,12,11,11,False
M,15,U,2,3,other,1,1,yes,yes,yes,2,2,1,3,0,11,11,12,False
M,15,U,2,3,other,1,3,yes,yes,no,3,2,1,2,2,10,9,9,True
F,15,U,3,2,services,1,2,yes,yes,no,4,4,1,1,4,12,11,11,False
M,15,U,2,2,services,2,2,yes,yes,no,3,3,1,3,2,13,12,13,False
F,15,U,1,1,other,1,2,yes,yes,no,3,2,2,3,2,13,12,12,False
F,15,U,4,4,services,2,2,yes,yes,yes,4,4,2,3,4,12,11,12,False
F,16,U,2,2,at_home,1,2,yes,no,no,3,4,1,2,6,13,11,11,False
F,15,U,4,2,other,1,3,yes,yes,no,3,3,1,3,4,15,15,15,False
M,16,U,2,2,services,2,2,yes,yes,no,4,2,1,1,6,12,10,11,False
M,16,U,4,4,teacher,1,2,yes,no,no,1,3,3,5,6,9,9,10,False
F,16,U,3,3,other,1,3,yes,yes,yes,3,3,1,3,2,9,11,11,False
F,15,U,4,3,services,1,1,yes,yes,no,5,5,1,3,6,14,13,13,False
F,16,U,3,1,other,1,2,yes,no,no,3,3,2,3,0,12,13,12,False
F,16,U,4,2,teacher,2,2,yes,yes,no,3,3,1,1,2,13,14,14,False
M,15,U,2,2,services,1,4,yes,yes,no,3,4,1,1,2,11,12,12,False
F,15,R,1,1,at_home,2,4,yes,yes,no,1,2,1,1,4,13,13,13,False
M,16,R,4,3,services,2,1,yes,yes,no,3,3,1,1,6,9,11,11,False
F,16,U,2,1,other,1,2,yes,no,yes,3,5,1,1,0,13,12,12,False
F,16,U,4,4,other,1,1,yes,yes,no,3,4,1,2,4,12,13,13,False
F,16,U,4,3,other,1,3,yes,yes,no,3,5,1,1,2,12,13,13,False
M,16,U,4,4,services,1,1,yes,yes,no,5,5,5,5,12,9,9,8,True
M,16,U,4,4,services,1,3,yes,yes,yes,4,3,1,1,0,16,16,16,False
M,15,U,4,4,services,1,1,yes,yes,no,3,3,1,1,2,12,13,12,False
F,15,U,3,2,services,2,2,yes,yes,no,3,5,1,1,16,11,10,10,False
M,15,U,3,4,services,1,2,yes,yes,no,4,4,1,1,0,16,16,16,False
F,15,U,3,3,other,1,4,yes,no,no,3,3,1,1,10,10,10,10,False
F,15,U,2,2,other,1,4,yes,yes,no,1,2,1,1,4,10,10,10,False
M,16,U,3,3,services,1,3,yes,yes,no,3,3,1,1,4,13,14,14,False
M,15,R,4,4,other,4,4,yes,yes,yes,3,5,3,5,8,12,10,11,False
F,16,U,4,4,health,1,3,yes,yes,yes,4,5,1,1,2,15,15,14,False
M,15,U,4,4,teacher,1,1,yes,yes,no,5,3,1,1,4,13,14,14,False
F,16,R,3,3,services,1,3,yes,yes,no,1,2,1,1,4,11,11,11,False
F,16,U,2,2,at_home,1,2,yes,yes,no,1,2,1,1,12,8,10,10,False
M,15,U,4,2,teacher,1,1,yes,yes,no,5,2,1,1,10,18,17,18,False
M,15,R,2,1,health,1,2,yes,yes,yes,4,2,1,1,4,10,9,10,False
M,16,U,4,4,teacher,1,2,yes,yes,no,4,4,1,2,6,16,14,14,False
M,15,U,4,4,other,2,2,yes,no,no,4,3,1,1,4,16,15,16,False
M,16,U,3,3,other,2,1,yes,yes,no,4,2,1,1,6,14,14,15,False
M,17,R,1,3,other,3,2,yes,yes,no,2,4,1,4,14,12,11,11,False
M,15,U,3,4,other,1,1,yes,yes,no,4,3,1,2,2,14,13,14,False
F,15,U,1,2,at_home,1,2,yes,yes,no,2,3,1,2,0,14,14,14,False
M,15,U,2,2,services,1,4,yes,yes,no,5,4,1,2,6,14,13,13,False
F,16,U,2,4,other,2,2,yes,yes,yes,2,2,1,2,2,14,12,13,False
M,16,U,4,4,health,1,1,yes,yes,no,4,4,1,4,4,12,13,13,False
F,16,U,2,2,other,1,2,yes,yes,yes,4,4,1,1,0,12,11,11,False
M,15,U,3,4,services,1,1,yes,yes,no,5,5,3,2,2,9,9,9,True
F,15,U,3,4,other,1,2,yes,yes,yes,3,2,1,1,0,10,11,11,False
F,19,U,0,1,at_home,1,2,no,no,no,4,2,1,1,0,9,10,11,False
M,16,R,4,4,teacher,1,1,yes,yes,no,5,5,2,5,8,14,14,15,False
M,16,U,2,3,other,2,3,yes,yes,yes,2,3,2,2,4,13,12,13,False
F,15,R,3,4,services,2,3,yes,yes,yes,2,2,2,2,0,10,11,12,False
F,18,U,2,1,services,1,2,no,yes,yes,4,5,1,3,10,10,9,8,True
F,17,U,2,1,other,3,1,yes,yes,no,2,2,1,2,8,11,10,11,False
F,15,U,1,1,at_home,3,1,yes,yes,yes,3,3,1,2,6,11,12,13,False
F,17,U,2,2,other,1,1,yes,yes,yes,4,4,1,3,2,13,12,12,False
F,16,U,3,4,services,1,1,yes,yes,no,2,1,1,4,12,15,13,14,False
M,16,U,2,1,at_home,4,1,yes,no,no,2,1,1,1,4,9,9,11,False
F,16,U,2,2,other,1,1,yes,no,no,3,4,1,1,12,13,11,11,False
M,15,R,3,4,at_home,4,2,yes,no,yes,3,3,1,1,2,12,11,11,False
F,15,U,4,4,services,1,3,yes,yes,yes,3,3,1,1,4,13,14,15,False
M,17,R,3,4,at_home,3,2,yes,no,no,4,5,2,4,2,10,9,10,False
F,16,R,1,1,at_home,4,2,yes,no,no,1,3,1,1,0,14,13,13,False
M,18,U,3,1,services,2,1,yes,yes,yes,3,4,4,5,2,11,11,12,False
F,18,U,3,2,other,1,3,yes,yes,yes,3,3,5,1,10,12,11,11,False
F,16,R,1,1,other,2,1,yes,no,yes,3,3,1,2,8,12,11,11,False
F,16,U,3,3,other,2,1,yes,yes,yes,3,2,1,1,4,9,9,10,False
M,16,U,1,1,services,1,2,yes,no,yes,4,4,1,3,0,10,10,10,False
F,15,U,4,4,teacher,2,1,yes,yes,no,3,2,1,1,6,13,14,14,False
F,15,R,1,1,other,3,1,yes,yes,yes,5,5,1,1,2,8,9,9,True
M,15,U,4,3,teacher,2,4,yes,yes,no,2,2,1,1,6,9,11,11,False
F,15,U,3,3,services,1,2,yes,no,yes,3,2,2,3,24,9,8,9,True
M,16,U,4,4,services,1,3,yes,yes,no,3,3,1,3,0,15,13,13,False
M,16,U,2,2,services,2,1,yes,yes,no,3,3,2,2,4,12,11,11,False
F,15,U,4,4,teacher,1,3,yes,yes,no,2,2,1,1,2,13,13,13,False
F,16,U,1,1,at_home,1,1,yes,yes,no,4,4,3,3,4,10,11,11,False
M,17,U,2,1,other,1,1,yes,yes,no,4,5,1,2,22,9,7,6,True
F,15,U,1,1,other,1,2,yes,yes,no,4,2,1,2,0,12,12,12,False
F,15,U,2,1,at_home,2,1,no,yes,yes,4,2,1,1,0,11,10,10,False
F,15,U,3,2,health,1,2,yes,yes,no,3,2,1,1,2,11,11,11,False
F,15,U,1,2,at_home,1,2,yes,yes,no,3,2,1,1,6,13,12,13,False
F,15,U,1,2,at_home,1,2,yes,no,yes,3,4,2,4,6,11,11,11,False
M,16,U,4,4,teacher,1,1,no,yes,yes,3,2,2,1,16,9,9,8,True
M,15,U,2,1,services,4,1,yes,yes,no,5,5,2,5,0,12,11,11,False
M,18,U,1,1,other,1,1,no,yes,yes,3,5,2,5,0,11,9,0,True
M,16,U,2,1,at_home,1,1,yes,no,yes,4,4,3,5,6,9,10,10,False
F,15,R,3,3,services,2,3,yes,yes,yes,2,1,2,3,2,13,13,13,False
M,19,U,3,2,services,1,1,no,yes,yes,5,4,1,1,6,11,9,11,False
F,17,U,4,4,other,1,1,yes,no,yes,2,1,1,1,0,13,13,13,False
M,15,R,2,3,at_home,1,2,yes,no,no,4,4,1,1,0,7,8,8,True
M,17,R,1,2,other,1,1,yes,no,no,2,2,3,3,14,9,8,10,False
F,18,R,1,1,at_home,3,1,yes,no,no,2,5,1,5,6,11,10,11,False
M,16,R,2,2,at_home,3,1,yes,no,no,2,2,1,2,4,12,10,11,False
M,16,U,3,3,other,1,2,yes,yes,yes,5,5,4,4,0,10,10,1,True
M,16,U,1,2,health,2,1,yes,yes,no,4,5,3,5,0,9,8,10,False
M,17,R,2,1,at_home,2,1,no,yes,yes,3,2,2,2,8,8,8,9,True
M,17,R,3,2,other,2,2,yes,yes,yes,4,4,1,4,4,7,6,8,True
M,15,U,1,2,other,2,1,yes,no,no,4,4,2,4,2,8,9,10,False
M,16,U,1,3,at_home,1,1,no,yes,no,3,3,1,4,2,9,8,8,True
M,17,R,1,1,other,4,2,no,no,yes,3,5,1,5,0,8,8,8,True
M,17,U,3,2,services,2,1,no,no,no,5,2,1,1,10,8,7,8,True
M,16,U,2,2,other,1,2,no,yes,no,3,5,2,4,0,9,10,11,False
F,16,U,4,2,health,1,2,yes,yes,yes,2,3,1,1,0,17,17,18,False
F,16,U,2,2,other,1,2,yes,yes,no,1,5,1,1,0,12,12,13,False
F,16,U,4,4,health,1,2,yes,yes,yes,4,2,1,1,0,16,16,17,False
M,16,U,3,4,other,3,1,yes,yes,no,4,5,2,4,4,9,9,10,False
M,16,U,1,0,other,2,2,yes,yes,yes,3,2,1,1,0,16,17,18,False
M,17,U,4,4,teacher,1,2,yes,yes,no,4,4,1,3,0,11,9,10,False
F,16,U,1,3,at_home,1,2,yes,yes,yes,3,5,1,1,0,14,13,13,False
F,16,U,3,3,other,2,2,yes,yes,no,4,5,1,1,0,14,14,15,False
M,17,U,4,3,teacher,2,2,yes,yes,no,4,4,4,4,0,10,11,11,False
F,16,U,2,2,services,2,2,yes,yes,no,4,4,1,4,0,13,12,14,False
M,17,U,3,3,other,1,2,yes,yes,no,3,4,1,4,4,11,9,10,False
M,16,R,4,2,teacher,1,1,yes,yes,yes,3,3,3,4,8,10,9,11,False
M,17,U,4,3,other,1,2,yes,yes,yes,2,3,1,1,4,11,11,13,False
M,16,U,4,3,teacher,1,2,yes,yes,no,4,3,2,3,4,11,10,11,False
M,16,U,3,3,services,1,2,yes,yes,yes,2,3,1,2,0,11,12,13,False
F,17,U,2,4,services,1,2,yes,no,no,4,2,2,3,0,17,18,17,False
F,17,U,3,3,other,1,2,yes,yes,yes,3,3,2,3,32,14,13,14,False
F,16,U,3,2,other,1,2,yes,yes,no,2,2,1,2,8,14,15,16,False
M,17,U,3,3,services,1,2,yes,yes,yes,3,4,2,3,6,11,13,14,False
M,16,U,1,2,services,1,1,yes,yes,yes,3,3,1,2,0,10,9,11,False
M,16,U,2,1,other,1,2,yes,yes,yes,2,3,1,2,0,13,14,16,False
F,17,U,3,3,health,1,2,yes,yes,yes,3,3,1,3,10,12,13,14,False
M,17,R,1,2,at_home,1,2,yes,no,no,1,3,1,5,6,9,9,10,False
F,16,U,2,3,services,1,2,yes,yes,no,3,3,1,1,6,12,12,13,False
F,17,U,1,1,at_home,1,2,yes,yes,no,3,3,1,1,0,12,11,12,False
M,17,U,1,2,at_home,2,2,yes,yes,no,4,4,4,5,16,10,11,12,False
M,16,R,3,3,services,1,1,yes,yes,no,3,2,3,4,0,11,10,10,False
M,16,U,2,3,other,2,1,yes,yes,no,3,3,1,1,0,13,12,12,False
F,17,U,2,4,services,1,2,yes,yes,yes,3,2,1,1,8,14,15,16,False
M,17,U,4,4,services,1,1,yes,yes,no,2,3,1,2,4,13,13,14,False
M,16,R,3,3,teacher,3,1,yes,yes,no,3,4,3,5,16,10,11,12,False
F,17,U,4,4,services,2,1,yes,yes,no,2,4,2,3,30,14,15,16,False
F,16,U,4,4,teacher,1,2,yes,yes,no,5,2,1,2,0,11,10,11,False
F,16,U,4,3,health,1,2,yes,yes,no,3,5,1,5,2,14,14,15,False
F,16,U,2,3,other,1,2,yes,no,no,4,3,1,3,4,11,12,12,False
F,17,U,1,1,other,1,2,yes,no,no,4,4,1,3,0,14,15,15,False
F,17,R,2,2,other,1,1,yes,yes,no,3,2,1,2,21,13,13,13,False
F,16,R,2,2,services,2,4,yes,yes,no,3,5,1,1,6,13,13,13,False
F,17,U,3,4,at_home,1,3,yes,yes,yes,4,3,3,4,14,8,9,8,True
F,16,U,3,1,services,1,2,yes,yes,no,3,3,2,2,2,11,11,12,False
F,16,U,4,3,teacher,1,2,yes,yes,yes,3,2,1,1,4,14,15,15,False
F,16,U,1,1,at_home,2,1,yes,no,no,3,2,1,4,2,12,13,13,False
F,17,R,4,3,teacher,2,3,yes,yes,yes,4,2,1,1,0,11,12,12,False
F,19,U,3,3,other,1,4,yes,yes,no,3,3,1,2,4,12,12,12,False
M,17,U,4,4,services,1,2,yes,yes,yes,3,5,4,5,15,13,12,12,False
F,16,U,2,2,other,1,2,yes,yes,no,3,4,1,1,0,13,13,13,False
M,18,U,2,2,services,1,2,yes,yes,no,4,4,2,4,10,12,11,11,False
F,17,R,4,4,services,1,1,yes,no,no,2,1,1,2,6,12,11,11,False
F,17,U,3,2,other,2,2,yes,yes,no,4,4,1,3,2,14,16,15,False
F,17,U,4,3,other,1,2,yes,yes,yes,4,5,2,4,16,11,9,10,False
M,18,U,3,3,services,1,2,yes,yes,no,2,4,2,4,10,10,10,10,False
F,17,U,2,3,at_home,2,1,yes,no,no,3,3,1,4,4,12,13,13,False
F,17,U,2,2,at_home,1,3,yes,yes,no,3,3,1,1,0,12,12,13,False
F,17,R,2,1,at_home,2,2,yes,yes,no,2,5,1,2,0,11,10,11,False
F,17,U,1,1,at_home,1,3,yes,no,yes,3,4,1,1,12,12,12,12,False
F,16,U,2,3,services,1,2,yes,yes,no,3,1,1,1,0,13,13,14,False
M,18,U,2,2,other,2,2,yes,yes,no,3,3,5,5,9,10,9,10,False
F,16,U,4,4,teacher,1,3,yes,yes,no,3,2,1,1,4,15,16,16,False
F,18,R,3,1,other,1,2,yes,yes,yes,3,3,1,1,4,8,8,8,True
F,17,U,3,2,other,1,2,yes,yes,no,3,4,1,3,2,17,18,17,False
M,17,U,2,3,services,1,2,yes,yes,no,3,3,1,3,0,10,11,11,False
M,18,U,2,1,at_home,4,2,yes,yes,yes,3,2,4,5,2,9,10,11,False
F,17,U,2,1,other,2,3,yes,yes,yes,2,3,1,2,0,15,15,16,False
F,17,U,4,3,health,1,2,yes,yes,yes,2,3,1,2,0,14,12,12,False
M,17,R,2,2,other,2,2,yes,yes,no,5,2,1,1,0,12,13,13,False
M,17,U,4,4,teacher,1,2,yes,yes,yes,5,5,1,3,0,13,13,13,False
M,16,U,4,4,health,1,2,yes,yes,no,2,4,2,4,0,13,13,14,False
M,16,U,1,1,other,2,2,yes,yes,no,4,2,1,1,2,9,9,9,True
M,16,U,3,2,at_home,2,3,yes,yes,yes,3,3,1,3,0,12,12,12,False
M,17,U,2,2,other,1,2,yes,yes,yes,4,2,5,5,0,16,16,16,False
F,16,U,2,1,other,1,1,yes,yes,yes,5,2,1,1,4,9,10,10,False
F,16,U,4,1,other,1,2,yes,yes,yes,3,3,1,2,0,14,13,13,False
F,18,U,2,4,services,2,2,yes,yes,no,3,3,1,1,18,10,10,10,False
F,18,U,2,2,at_home,1,2,yes,yes,yes,3,1,1,1,16,9,8,10,False
F,18,U,3,3,other,2,1,no,yes,no,1,1,1,1,14,8,7,7,True
M,18,U,2,2,other,1,1,no,yes,yes,4,3,2,2,26,7,8,8,True
M,17,U,4,4,teacher,1,1,yes,yes,no,2,1,1,2,6,10,8,9,True
F,17,U,3,2,other,1,2,yes,no,no,4,2,1,1,4,14,14,15,False
F,17,U,1,1,at_home,1,3,yes,yes,yes,3,2,1,2,10,11,10,10,False
F,16,U,1,2,other,1,1,no,yes,no,3,5,1,2,4,12,11,11,False
F,17,R,2,1,at_home,3,2,yes,no,no,1,1,1,1,2,13,13,13,False
F,17,R,1,4,other,4,1,yes,yes,no,5,4,1,1,14,9,9,8,True
M,18,U,2,2,other,1,2,no,yes,no,5,4,3,5,16,8,7,8,True
F,17,U,2,2,other,1,1,no,yes,no,1,2,1,1,8,11,9,10,False
F,17,R,1,1,at_home,2,3,yes,yes,no,3,3,1,3,4,15,14,15,False
F,17,U,4,2,teacher,1,2,yes,no,no,3,2,1,1,4,15,14,14,False
M,17,U,4,3,health,2,2,yes,yes,yes,5,5,1,4,8,15,15,15,False
M,17,R,4,4,teacher,2,2,yes,yes,no,3,3,2,3,0,12,12,12,False
M,16,U,4,3,teacher,1,1,yes,yes,no,4,5,1,1,7,14,14,15,False
M,16,U,4,4,services,1,1,yes,yes,no,3,2,1,2,4,14,15,15,False
F,17,U,4,4,teacher,1,2,yes,yes,yes,3,1,1,4,2,11,11,12,False
M,17,R,1,1,other,2,3,yes,yes,yes,3,3,1,1,2,13,14,15,False
F,17,U,3,3,services,2,3,yes,yes,yes,2,2,2,3,10,11,11,11,False
F,17,U,1,1,at_home,1,2,yes,no,yes,3,2,1,1,10,10,9,10,False
F,18,U,2,1,other,2,3,yes,yes,yes,4,4,1,1,10,12,10,11,False
M,16,U,2,1,other,3,1,yes,yes,no,3,3,1,1,7,15,16,16,False
F,17,U,1,1,other,1,2,yes,no,no,3,4,1,2,4,11,10,11,False
M,17,U,2,3,other,2,1,yes,yes,no,2,2,1,1,2,9,12,13,False
M,22,U,3,1,services,1,1,no,yes,yes,4,5,5,5,12,7,8,5,True
M,18,R,3,3,other,1,2,yes,yes,yes,3,3,1,3,8,10,9,10,False
M,16,U,0,2,other,1,1,yes,yes,no,3,2,2,4,0,11,12,11,False
M,18,U,3,2,services,2,1,no,yes,no,4,5,2,4,8,7,8,7,True
M,16,U,3,3,at_home,3,2,yes,yes,no,3,3,1,3,4,9,11,10,False
M,18,U,2,1,services,1,1,no,yes,no,2,5,2,5,4,7,8,6,True
M,16,R,2,1,other,2,1,yes,no,no,3,2,1,3,2,14,13,12,False
M,17,R,2,1,other,1,1,yes,yes,no,4,2,2,4,0,12,12,13,False
M,17,U,1,1,health,2,1,yes,yes,no,4,4,1,2,0,9,10,10,False
F,18,U,2,1,other,1,2,yes,yes,yes,3,4,1,3,2,12,12,13,False
F,17,U,4,2,teacher,1,4,yes,yes,no,2,3,1,1,2,14,15,17,False
F,19,U,2,2,services,1,2,yes,yes,no,3,3,1,1,0,10,10,11,False
M,18,U,2,1,services,3,2,no,yes,no,4,5,4,4,4,11,10,11,False
F,17,R,4,2,other,1,3,yes,yes,no,3,4,1,3,2,11,12,14,False
F,18,U,1,1,other,1,3,yes,no,no,4,3,2,3,4,11,12,14,False
F,18,R,2,2,other,1,2,yes,no,no,2,3,1,1,4,11,11,13,False
M,19,U,4,3,services,1,2,yes,yes,no,3,1,1,1,4,11,13,14,False
M,18,U,2,1,other,1,2,yes,yes,no,2,4,1,2,2,16,16,16,False
M,17,R,2,2,other,2,1,no,no,no,2,2,1,1,0,9,10,10,False
F,17,U,2,2,services,1,4,yes,yes,yes,4,1,1,1,2,10,11,12,False
F,20,R,2,1,other,2,2,no,yes,yes,2,3,1,2,8,10,12,12,False
F,18,U,4,3,services,1,2,yes,yes,yes,1,2,1,3,2,15,15,15,False
M,18,U,4,3,teacher,1,2,yes,yes,no,3,2,1,1,2,10,10,11,False
M,18,R,3,2,other,1,3,yes,no,no,3,2,1,1,2,10,11,12,False
F,17,U,3,3,other,1,3,yes,no,no,2,3,1,1,2,15,12,13,False
F,18,U,2,2,at_home,1,3,yes,yes,yes,3,3,1,1,0,11,12,13,False
M,17,U,2,2,other,2,1,no,yes,no,4,4,2,3,8,8,8,9,True
M,18,R,3,4,other,2,2,yes,yes,no,2,5,3,4,6,15,16,16,False
M,17,U,3,1,services,1,2,yes,yes,yes,4,4,3,4,0,11,11,14,False
F,18,R,4,4,teacher,2,2,yes,yes,no,3,4,2,2,8,10,11,12,False
M,18,U,4,2,health,1,2,yes,yes,yes,4,5,1,3,4,10,12,14,False
F,18,R,2,1,other,2,2,no,yes,yes,3,5,1,2,12,8,9,10,False
F,19,U,3,3,other,1,2,yes,yes,no,3,5,3,3,16,11,12,12,False
F,18,U,2,3,other,1,4,yes,yes,yes,5,5,1,3,10,16,16,16,False
F,18,U,1,1,other,2,2,yes,no,no,4,3,1,1,2,13,13,13,False
M,17,R,1,2,at_home,1,2,yes,no,yes,5,2,2,2,2,16,17,18,False
F,18,U,2,1,other,1,2,yes,yes,yes,2,5,1,2,8,14,14,15,False
F,17,U,2,4,at_home,2,2,yes,yes,yes,3,3,1,1,6,15,16,16,False
F,17,U,2,2,services,2,2,yes,yes,yes,4,4,2,3,6,12,12,12,False
F,18,R,3,2,other,2,2,no,yes,yes,1,1,1,1,15,12,9,10,False
M,18,U,4,4,teacher,2,1,yes,yes,no,2,4,1,4,6,11,12,12,False
F,18,U,4,4,health,1,2,yes,yes,yes,4,4,1,1,2,14,12,13,False
